#{"t_start": 1770922108.8733165, "env_id": "None"}
r,l,t
-117658.016,14901,348.753352
-119690.36,14901,348.785274
-121481.92,14901,348.7853
-109055.62,14901,348.785308
-107221.82,14901,348.785313
-102566.18,14901,348.785318
-95733.0,14901,348.785323
-91948.2,14901,348.785328
-80727.63,14901,348.785332
-111117.04,14901,348.785336
-126896.22,14901,348.785341
-96742.305,14901,348.785345
-123274.82,14901,348.785349
-110934.44,14901,348.785354
-104683.22,14901,348.785358
-110479.836,14901,348.785362
-73975.76,14901,348.785367
-91400.55,14901,348.785371
-109662.81,14901,348.78538
-97841.516,14901,348.785385
-108921.68,14901,348.785389
-93439.81,14901,348.785393
-86198.82,14901,348.785398
-96621.69,14901,348.785402
-116954.734,14901,348.785406
-129473.03,14901,348.78541
-120468.42,14901,348.785415
-97753.62,14901,348.785419
-110981.23,14901,348.785424
-89049.43,14901,348.785428
-116500.48,14901,348.785432
-100856.18,14901,348.785436
-93726.12,14903,699.479025
-86584.84,14903,699.479103
-89886.66,14903,699.479113
-112556.555,14903,699.479119
-97057.55,14903,699.479138
-81432.19,14903,699.479144
-154197.52,14903,699.479149
-101081.57,14903,699.479155
-112670.48,14903,699.479161
-100813.445,14903,699.479167
-95613.32,14903,699.479172
-115888.62,14903,699.479178
-96147.375,14903,699.479183
-83885.47,14903,699.479192
-85686.414,14903,699.479198
-100567.55,14903,699.479203
-107268.836,14903,699.479209
-93948.336,14903,699.479215
-96187.36,14903,699.479221
-111234.71,14903,699.479227
-100945.84,14903,699.479232
-111078.36,14903,699.479238
-82200.05,14903,699.479244
-115106.35,14903,699.479249
-119725.445,14903,699.479255
-108894.69,14903,699.479262
-116385.1,14903,699.479267
-87887.66,14903,699.479273
-99054.86,14903,699.479278
-103844.77,14903,699.479284
-89486.87,14903,699.47929
-114264.27,14903,699.479295
-85.34392,1,699.833378
-74347.36,10746,952.979441
-90070.02,14905,1054.951789
-76380.86,14905,1054.951852
-107673.72,14905,1054.95186
-149655.53,14905,1054.951876
-80892.336,14905,1054.951882
-80791.27,14905,1054.951888
-74477.03,14905,1054.951904
-100271.96,14905,1054.95191
-80177.664,14905,1054.951916
-101274.695,14905,1054.951921
-168398.11,14905,1054.951927
-75095.42,14905,1054.951933
-73097.07,14905,1054.951938
-97824.09,14905,1054.951943
-98163.92,14905,1054.951948
-100662.56,14905,1054.951953
-147733.0,14905,1054.951959
-102671.35,14905,1054.951964
-86529.5,14905,1054.951972
-78899.164,14905,1054.951977
-81739.35,14905,1054.951983
-78377.625,14905,1054.951988
-93940.95,14905,1054.951993
-100667.4,14905,1054.951998
-67942.1,14905,1054.952004
-115019.18,14905,1054.95201
-109038.52,14905,1054.952015
-81265.83,14905,1054.952021
-93271.77,14905,1054.952027
-103.57537,1,1055.349971
-71883.734,14905,1055.350013
-76453.58,15001,1057.802255
-78670.03,14906,1311.201455
-545093.6,14494,1402.502599
-86151.734,14906,1413.862825
-120118.75,14906,1413.862897
-89549.12,14906,1413.862906
-171485.06,14906,1413.862911
-88893.89,14906,1413.862916
-91837.62,14906,1413.862921
-96681.46,14906,1413.862926
-86307.12,14906,1413.862931
-319458.5,14906,1413.862936
-92462.84,14906,1413.862941
-94530.734,14906,1413.862946
-103979.0,14906,1413.862951
-161771.0,14906,1413.862956
-72625.75,14906,1413.862961
-254088.06,14906,1413.862965
-75369.25,14906,1413.862971
-81894.31,14906,1413.862975
-84742.484,14906,1413.86298
-79485.695,14906,1413.862986
-207143.31,14906,1413.862992
-84128.86,14906,1413.862998
-90715.48,14906,1413.863003
-82609.13,14906,1413.863008
-200401.45,14906,1413.863013
-79574.17,14906,1413.863018
-94329.6,14906,1413.863023
-91565.48,14906,1413.863028
-156734.8,14906,1414.241192
-96496.87,14906,1414.241242
-74835.99,14906,1416.704069
-36685.984,4369,1518.78461
-84649.54,14907,1671.333691
-86675.414,14908,1763.266828
-67272.34,14908,1774.607679
-75388.93,14908,1774.607741
-147995.92,14908,1774.607749
-70330.73,14908,1774.607756
-87400.766,14908,1774.607762
-82737.33,14908,1774.607768
-61280.29,14908,1774.607774
-84287.836,14908,1774.607792
-77104.74,14908,1774.607798
-79934.46,14908,1774.607803
-80060.695,14908,1774.607809
-95402.86,14908,1774.607814
-83980.67,14908,1774.60782
-77440.52,14908,1774.607825
-129584.1,14908,1774.60783
-84347.06,14908,1774.607836
-79165.55,14908,1774.607846
-70780.93,14908,1774.607851
-68791.04,14908,1774.607856
-121241.484,14908,1774.607861
-78823.45,14908,1774.607867
-271529.47,14908,1774.607872
-79060.414,14908,1774.607877
-68038.51,14908,1774.607882
-125008.6,14908,1774.607888
-75161.266,14908,1774.607892
-92.67211,1,1775.0194
-89556.664,14908,1775.019451
-72090.016,14908,1775.019457
-83420.016,15001,1777.443015
-75914.84,14908,1880.157089
-74661.1,14909,2032.692986
-77774.24,14909,2124.404315
-77063.234,14909,2135.598166
-77827.8,14909,2135.598228
-72658.664,14909,2135.598237
-77624.336,14909,2135.598243
-77518.7,14909,2135.598248
-81093.73,14909,2135.598253
-279331.03,14909,2135.598258
-67654.78,14909,2135.598263
-70036.984,14909,2135.598268
-129373.19,14909,2135.598273
-258020.95,14909,2135.598279
-59150.75,14909,2135.598284
-61305.727,14909,2135.598289
-78090.555,14909,2135.598294
-215202.95,14909,2135.598299
-64273.79,14909,2135.598304
-258419.88,14909,2135.598309
-81597.47,14909,2135.598315
-81381.28,14909,2135.59832
-80293.38,14909,2135.598325
-74286.305,14909,2135.59833
-152000.53,14909,2135.598336
-61266.16,14909,2135.598341
-111083.0,14909,2135.598346
-109378.21,14909,2136.05619
-86.89406,1,2136.056243
-168688.44,14909,2136.056252
-77412.3,14909,2136.056259
-82.32103,1,2136.056265
-72708.44,15001,2138.435792
-374605.94,14909,2138.739676
-75721.4,14910,2241.604024
-61918.32,14911,2394.204709
-72032.484,14911,2485.402502
-86.34269,1,2485.743034
-52373.887,14911,2496.800823
-54559.93,14911,2496.800875
-67215.44,14911,2496.800883
-191687.36,14911,2496.800888
-76760.78,14911,2496.800893
-57436.67,14911,2496.800898
-187371.27,14911,2496.800903
