#{"t_start": 1770660807.5993278, "env_id": "None"}
r,l,t
-140779.92,19900,423.56156
-137268.62,19900,423.593343
-139245.64,19900,423.593375
-124173.625,19900,423.59338
-120225.695,19900,423.593385
-122256.22,19900,423.593388
-117090.25,19900,423.593391
-117373.266,19900,423.593394
-107011.63,19900,423.593397
-130566.97,19900,423.5934
-143584.81,19900,423.593403
-118173.555,19900,423.593406
-146039.25,19900,423.593409
-130632.45,19900,423.593411
-123879.95,19900,423.593415
-128437.23,19900,423.593417
-99454.73,19900,423.59342
-118714.27,19900,423.593423
-127525.414,19900,423.593426
-120287.16,19900,423.593429
-130012.16,19900,423.593432
-117351.97,19900,423.593435
-108034.5,19900,423.593437
-120709.586,19900,423.593441
-138838.23,19900,423.593443
-148613.83,19900,423.593446
-137569.33,19900,423.593449
-116472.22,19900,423.593456
-126866.23,19900,423.593459
-112699.0,19900,423.593462
-132008.89,19900,423.593465
-121227.65,19900,423.593468
-108748.055,19903,839.301209
-98922.234,19903,839.301267
-135484.14,19903,839.301273
-114464.59,19903,839.301277
-109939.63,19903,839.30128
-144687.1,19903,839.301285
-118931.24,19903,839.301288
-115861.664,19903,839.301292
-98727.24,19903,839.301295
-103299.79,19903,839.301299
-114601.68,19903,839.301303
-112880.35,19903,839.301306
-119679.734,19903,839.30131
-114397.92,19903,839.301314
-99221.63,19903,839.301318
-96168.57,19903,839.301325
-105323.85,19903,839.301328
-103110.586,19903,839.301332
-121532.28,19903,839.301336
-115368.016,19903,839.301339
-112324.11,19903,839.301342
-117466.71,19903,839.301345
-130372.24,19903,839.301348
-95887.31,19903,839.301351
-102521.65,19903,839.301355
-132933.53,19903,839.301358
-95607.46,19903,839.301362
-98653.65,19903,839.301365
-100825.52,19903,839.301368
-107850.43,19903,839.301371
-109719.34,19903,839.301374
-111576.17,20000,841.615312
-96864.25,19905,1256.189466
-81144.164,19905,1256.189522
-110267.8,19905,1256.189529
-84694.42,19905,1256.189534
-90412.36,19905,1256.189539
-104924.89,19905,1256.189544
-98375.72,19905,1256.189548
-109428.56,19905,1256.189553
-99076.3,19905,1256.189558
