#{"t_start": 1770655197.4975054, "env_id": "None"}
r,l,t
3296.6233,19900,469.823943
3486.8875,19900,469.824022
3801.4895,19900,469.82404
6246.3047,19900,469.82405
6936.4673,19900,469.824058
7040.6777,19900,469.824066
9122.16,19900,469.824074
8212.138,19900,469.824081
14078.482,19900,469.824088
4945.9263,19900,469.824095
3226.694,19900,469.824102
8117.086,19900,469.824109
3519.6006,19900,469.824115
4877.875,19900,469.82412
6406.874,19900,469.824125
5300.0723,19900,469.82413
17783.219,19900,469.824136
9061.048,19900,469.824142
4867.0137,19900,469.824148
8539.975,19900,469.824153
5148.131,19900,469.824159
9451.105,19900,469.824164
11987.271,19900,469.824169
7864.7583,19900,469.824174
3371.2793,19900,469.824179
1952.2241,19900,469.824184
4122.3286,19900,469.82419
9514.111,19900,469.824197
5125.397,19900,469.824202
10001.948,19900,469.824208
3216.7388,19900,469.824213
6841.5576,19900,469.824219
8811.48,19913,935.073153
16010.768,19913,935.07322
5502.1284,19913,935.073231
8832.173,19913,935.073239
9755.07,19913,935.073246
3740.9473,19913,935.073253
8069.6265,19913,935.07326
8860.644,19913,935.073268
13815.106,19913,935.073273
13298.388,19913,935.073278
7724.084,19913,935.073283
10175.243,19913,935.073288
8230.706,19913,935.073294
14803.545,19913,935.073299
16248.099,19913,935.073304
10073.634,19913,935.073309
13315.525,19913,935.073314
8813.513,19913,935.073319
9120.895,19913,935.073324
9770.213,19913,935.073329
9532.058,19913,935.073334
7128.3154,19913,935.073339
16553.73,19913,935.073344
12956.682,19913,935.073349
6886.4956,19913,935.073354
17097.232,19913,935.07336
14506.617,19913,935.073366
13362.137,19913,935.07337
10405.672,19913,935.073375
10826.151,19913,935.07338
-5.06,1,935.399105
-5.06,1,935.399154
-5.06,1,935.399162
11174.434,20000,937.631755
8572.219,20000,937.631819
15501.512,19926,1399.816113
14467.532,19926,1399.81618
15391.81,19926,1399.816189
15385.282,19926,1399.816195
13699.567,19926,1399.8162
12271.76,19926,1399.816206
21042.502,19926,1399.816211
13635.904,19926,1399.816217
19439.268,19926,1399.816223
16783.24,19926,1399.816228
14835.781,19926,1399.816234
18796.688,19926,1399.816244
13701.395,19926,1399.81625
15020.769,19926,1399.816255
16193.456,19926,1399.816261
19543.658,19926,1399.816266
