#{"t_start": 1770891971.5386417, "env_id": "None"}
r,l,t
-62692.133,9916,1653.53042
-275499.4,9916,1653.530428
-91785.67,9916,1653.530435
-191735.19,9916,1653.53044
-68754.49,9916,1653.530446
-53269.17,9916,1653.530451
-60620.43,9916,1653.530456
-96.562584,1,1653.853066
-59862.83,9916,1656.092593
-49732.082,9916,1656.436085
-65090.008,9916,1656.436169
-58534.016,9916,1656.436176
-85.19462,1,1656.729812
-59607.074,9916,1656.729867
-91.96538,1,1657.020009
-56761.16,10001,1658.836737
-54473.348,7197,1728.309491
-91557.09,10001,1734.877182
-83.06494,1,1735.201809
-58983.31,3487,1739.312615
-53991.47,3535,1740.416025
-81.893814,1,1740.746601
-169736.64,7506,1765.731409
-66354.68,9917,1768.639263
-45557.395,4973,1773.41597
-67095.02,5525,1775.217485
-42148.79,9917,1778.916491
-199127.89,9110,1781.343121
-107964.445,10001,1783.838314
-93253.53,10001,1786.172483
-45331.266,9917,1789.358064
-86028.32,10001,1811.794264
-92505.125,9918,1813.3471
-142158.19,6618,1816.263091
-86131.0,9918,1827.75838
-204852.12,9918,1854.990311
-246286.42,8407,1859.056183
-58020.645,9918,1870.934899
-248156.44,9918,1876.774019
-150278.6,9918,1881.349503
-73947.86,9918,1886.952478
-116180.086,9919,1893.737247
-59675.266,9919,1893.737299
-141046.73,9919,1893.737308
-124176.67,9919,1893.737314
-49515.473,9919,1893.737319
-57768.035,9919,1893.737325
-42551.312,9919,1893.759002
-105.42585,1,1893.781276
-65558.42,9919,1896.122687
-55351.44,10001,1900.332322
-79233.96,6996,1909.970698
-125640.27,7972,1922.118791
-44384.89,5391,1957.432025
-63204.59,7565,1966.175916
-58265.723,9919,1975.34019
-124716.02,9919,1980.813558
-84905.625,4314,1997.326865
-95767.68,4106,1998.410319
-101539.0,9920,2005.879897
-148523.36,9920,2008.859412
-114075.0,9920,2013.541044
-62899.484,9920,2015.330271
-50458.79,9920,2018.988184
-178124.19,9920,2021.193774
-95.60967,1,2021.516944
-101754.83,5293,2022.012974
-216952.08,9920,2026.262396
-46541.39,9920,2029.452348
-237982.19,9747,2048.962957
-110432.07,7130,2049.795446
-64540.684,9920,2052.202495
-119429.54,9920,2056.41896
-101383.17,9921,2094.968834
-305618.06,9921,2098.935795
-59658.152,9921,2110.800784
-100404.48,5535,2114.864886
-122247.0,9921,2121.239541
-65042.496,9921,2126.698958
-58924.08,9921,2133.485162
-76959.625,9921,2133.485219
-51552.33,9921,2133.485227
-165975.45,9921,2133.485232
-111197.9,10001,2135.637001
-43206.645,9921,2135.995488
-100234.13,6848,2141.838573
-130560.63,9921,2149.492311
-82.82525,1,2149.808724
-57826.887,10001,2163.724063
-137403.45,8912,2173.295984
-61979.01,9922,2205.786077
-66163.21,9125,2218.76006
-71748.836,9922,2236.529287
-290227.78,9922,2245.178773
-84700.53,9922,2248.060565
-81490.81,9922,2252.427944
-100.02849,1,2252.741181
-46544.05,9922,2254.557804
-71931.445,9922,2258.209715
-111883.98,9922,2260.351462
-60199.363,9922,2260.903327
-82636.29,5883,2262.904473
-679.97723,9,2263.116985
-99.39785,1,2263.431327
-238948.3,9922,2265.061755
-84.81814,1,2265.369277
-86434.18,9922,2268.575869
-135035.94,6135,2283.566589
-51655.297,9923,2288.712032
-83.116646,1,2289.023969
-61637.54,10001,2290.223054
-67527.47,9923,2291.132921
-182200.4,9923,2295.458862
-87022.17,9923,2333.916858
-64383.08,9923,2337.858035
-47596.88,9923,2349.711267
-127596.875,9923,2353.577058
-54121.027,9923,2364.969365
-90.88989,1,2365.280125
-72319.05,9923,2371.924022
-61716.2,9923,2371.924104
-134464.67,9923,2371.924121
-84.53815,1,2372.202498
-121733.7,10001,2374.227169
-82831.95,9923,2374.313257
-106491.89,9924,2380.369091
-296424.88,9924,2388.23218
-150350.25,10001,2404.420384
-62118.254,9924,2412.103734
-181703.77,6667,2415.537616
-204476.38,9924,2444.788547
-86.64747,1,2444.81286
-81.3492,1,2445.121627
-54899.266,9924,2458.152899
-60947.023,7314,2466.101872
-247150.03,9925,2476.396429
-314023.47,9925,2485.03756
-178851.89,9925,2487.658616
-50126.676,9925,2492.49174
-65839.516,9925,2497.648643
-93950.49,9925,2500.351331
-61821.69,10001,2502.181928
-84524.875,9925,2503.198337
-85186.56,9925,2505.153254
-44584.656,9925,2508.290388
-77914.23,6379,2509.090811
-51109.44,9925,2523.528184
-57399.152,9925,2528.812745
-58827.7,10001,2533.040228
-286043.1,9925,2535.470088
-91866.84,7012,2544.546383
-134510.97,9925,2574.095101
-52530.926,9926,2578.12931
-65601.9,9926,2589.985118
-67592.305,9926,2605.175936
