#{"t_start": 1771009385.3173108, "env_id": "None"}
r,l,t
-79113.55,9901,209.244637
-79018.445,9901,209.276676
-77199.664,9901,209.27672
-69364.12,9901,209.276726
-62120.098,9901,209.27673
-63810.1,9901,209.276734
-60129.348,9901,209.276738
-56722.34,9901,209.276742
-51967.797,9901,209.276768
-70634.37,9901,209.276773
-82708.11,9901,209.276777
-60920.004,9901,209.276781
-82135.7,9901,209.276784
-72036.22,9901,209.276792
-69898.59,9901,209.276795
-70986.164,9901,209.276798
-44593.2,9901,209.276802
-60731.28,9901,209.276805
-72798.74,9901,209.276809
-61428.254,9901,209.276812
-73372.45,9901,209.276816
-58124.223,9901,209.276819
-50895.355,9901,209.276822
-62129.297,9901,209.276825
-80882.57,9901,209.276829
-83519.27,9901,209.276832
-83526.12,9901,209.276845
-58976.727,9901,209.276849
-71405.25,9901,209.276852
-57276.062,9901,209.276855
-73853.97,9901,209.276859
-62089.723,9901,209.276866
-85723.25,9903,415.615812
-63779.285,9903,415.615864
-60663.797,9903,415.615872
-57862.71,9903,415.615877
-55228.305,9903,415.615883
-51597.305,9903,415.615899
-79884.48,9903,415.615905
-61876.72,9903,415.615911
-70622.27,9903,415.615916
-76757.1,9903,415.615922
-62413.04,9903,415.615928
-60687.277,9903,415.615934
-64924.95,9903,415.615939
-83874.69,9903,415.615958
-51595.105,9903,415.615963
-66363.52,9903,415.615969
-74837.62,9903,415.615974
-69436.25,9903,415.615979
-72702.19,9903,415.615984
-75558.9,9903,415.615989
-69427.48,9903,415.615994
-58940.727,9903,415.616003
-63454.34,9903,415.616008
-57370.258,9903,415.616013
-75689.74,9903,415.616017
-54539.168,9903,415.616022
-80197.61,9903,415.616029
-57216.023,9903,415.616032
-48538.586,9903,415.616036
-75072.19,9903,415.616039
-76156.305,9903,415.616043
-70459.734,9903,415.616046
-65631.52,9905,621.896729
-47521.418,9905,621.896787
-71267.05,9905,621.896795
-54279.777,9905,621.896801
-60797.344,9905,621.896806
-92073.766,9905,621.89681
-64360.63,9905,621.896814
-67715.45,9905,621.896819
-81258.58,9905,621.896823
-63416.543,9905,621.896827
-45224.18,9905,621.896831
-54291.875,9905,621.896835
-45395.77,9905,621.896839
-69188.55,9905,621.896843
-79863.055,9905,621.896848
-55595.71,9905,621.896852
-51951.06,9905,621.896856
-87262.0,9905,621.89686
-77512.99,9905,621.896865
-66951.88,9905,621.896869
-58962.266,9905,621.896873
-55872.17,9905,621.896877
-83675.32,9905,621.896882
-56244.273,9905,621.896886
-48049.594,9905,621.89689
-56315.793,9905,621.896894
-44915.527,9905,621.896899
-68640.45,9905,621.896903
-51865.39,9905,621.896907
-61162.61,9905,621.896912
-48091.566,9905,621.896916
-55650.605,9905,621.89692
-60589.215,9906,827.91654
